slug,name,category,problems,ascents,mapped
belvedere,,,0,0,
gillevoisin,,,0,0,
croubis,,,0,0,
champs,,,0,0,
etampes,,,0,0,
etrechy,,,0,0,
buttesaintmartin,,,0,0,
rocheplate,,,0,0,
fertealais,,,0,0,
pendu,,,0,0,
sanglier,,,0,0,
comble,,,0,0,
maisse,,,0,0,
mondevillecapavance,,,0,0,
mondeville,,,0,0,
mondevillerocheauxdames,,,0,0,
billard,,,0,0,
chatillon,,,0,0,
mignot,,,0,0,
prunay,,,0,0,
valpuiseaux,,,0,0,
villeneuve,,,0,0,
maincourt,,,0,0,
troche,,,0,0,
vauxdecernay,,,0,0,
orsay,,,0,0,
merantais,,,0,0,
angennes,,,0,0,
saintremy,,,0,0,
burbage-south,,,0,0,true
